//StickyStudy Chinese Deck//	0	_	2500-0-0-0-0	_	_	0	0	_	0_-1_0_-1_-1_-1_1-1-2-2-0-0-0-0-3-0-150-40-0-1-1-0-0-0-0-10-0-0-0-0-0-39-1
------------------------------------------------------------------
平行	平行	ping2 xing2	píng xíng	parallel; of equal rank; simultaneous		0	0		[0_0_0_0_0_0_NEW]
导弹	導彈	dao3 dan4	dǎo dàn	guided missile; cruise missile; missile		0	0	CL:枚[mei2]	[0_0_0_0_0_0_NEW]
规范	規範	gui1 fan4	guī fàn	norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify		0	0		[0_0_0_0_0_0_NEW]
沼泽	沼澤	zhao3 ze2	zhǎo zé	marsh; swamp; wetlands; glade		0	0		[0_0_0_0_0_0_NEW]
稠密	稠密	chou2 mi4	chóu mì	dense		0	0		[0_0_0_0_0_0_NEW]
沾光	沾光	zhan1 guang1	zhān guāng	to bask in the light; fig. to benefit from association with sb or sth; reflected glory		0	0		[0_0_0_0_0_0_NEW]
公认	公認	gong1 ren4	gōng rèn	publicly known (to be); accepted (as)		0	0		[0_0_0_0_0_0_NEW]
施展	施展	shi1 zhan3	shī zhǎn	to use fully; to put to use		0	0		[0_0_0_0_0_0_NEW]
酗酒	酗酒	xu4 jiu3	xù jiǔ	heavy drinking; to get drunk; to drink to excess		0	0		[0_0_0_0_0_0_NEW]
落成	落成	luo4 cheng2	luò chéng	to complete a construction project		0	0		[0_0_0_0_0_0_NEW]
斑	斑	ban1	bān	spot; stripe; spotted; striped		0	0		[0_0_0_0_0_0_NEW]
沉着	沉著	chen2 zhuo2	chén zhuó	steady; calm and collected; not nervous		0	0		[0_0_0_0_0_0_NEW]
框架	框架	kuang4 jia4	kuàng jià	frame; framework; fig. pattern; outline; organizing plan		0	0		[0_0_0_0_0_0_NEW]
开阔	開闊	kai1 kuo4	kāi kuò	wide; open (spaces); to open up		0	0		[0_0_0_0_0_0_NEW]
专长	專長	zhuan1 chang2	zhuān cháng	specialty; special knowledge or ability		0	0		[0_0_0_0_0_0_NEW]
歧视	歧視	qi2 shi4	qí shì	to discriminate against; discrimination		0	0		[0_0_0_0_0_0_NEW]
惊奇	驚奇	jing1 qi2	jīng qí	to be amazed; to be surprised; to wonder		0	0		[0_0_0_0_0_0_NEW]
绅士	紳士	shen1 shi4	shēn shì	gentleman		0	0		[0_0_0_0_0_0_NEW]
掠夺	掠奪	lve4 duo2	lüè duó	to plunder; to rob; also written 略奪|略夺		0	0		[0_0_0_0_0_0_NEW]
时而	時而	shi2 er2	shí ér	occasionally; from time to time		0	0		[0_0_0_0_0_0_NEW]
方言	方言	fang1 yan2	fāng yán	dialect		0	0		[0_0_0_0_0_0_NEW]
理睬	理睬	li3 cai3	lǐ cǎi	to heed; to pay attention to		0	0		[0_0_0_0_0_0_NEW]
生疏	生疏	sheng1 shu1	shēng shū	unfamiliar; strange; out of practice; not accustomed		0	0		[0_0_0_0_0_0_NEW]
用户	用戶	yong4 hu4	yòng hù	user; consumer; subscriber; customer		0	0		[0_0_0_0_0_0_NEW]
衷心	衷心	zhong1 xin1	zhōng xīn	heartfelt; wholehearted; cordial		0	0		[0_0_0_0_0_0_NEW]
思维	思維	si1 wei2	sī wéi	(line of) thought; thinking		0	0		[0_0_0_0_0_0_NEW]
格式	格式	ge2 shi4	gé shì	form; specification; format		0	0		[0_0_0_0_0_0_NEW]
反问	反問	fan3 wen4	fǎn wèn	to ask (a question) in reply; to answer a question with a question; rhetorical question		0	0		[0_0_0_0_0_0_NEW]
番	番	fan1	fān	to take turns; order in series; time; a kind of; barbarians		0	0		[0_0_0_0_0_0_NEW]
精简	精簡	jing1 jian3	jīng jiǎn	to simplify; to reduce		0	0		[0_0_0_0_0_0_NEW]
港湾	港灣	gang3 wan1	gǎng wān	natural harbor; bay serving as harbor		0	0		[0_0_0_0_0_0_NEW]
繁殖	繁殖	fan2 zhi2	fán zhí	to breed; to reproduce; to propagate		0	0		[0_0_0_0_0_0_NEW]
皱纹	皺紋	zhou4 wen2	zhòu wén	wrinkle		0	0	CL:道[dao4]	[0_0_0_0_0_0_NEW]
仁慈	仁慈	ren2 ci2	rén cí	benevolent; charitable; kind; kindly; kindness; merciful		0	0		[0_0_0_0_0_0_NEW]
层次	層次	ceng2 ci4	céng cì	arrangement of ideas; administrative level; level; stage; phase		0	0		[0_0_0_0_0_0_NEW]
默默	默默	mo4 mo4	mò mò	in silence; not speaking		0	0		[0_0_0_0_0_0_NEW]
连锁	連鎖	lian2 suo3	lián suǒ	chain		0	0		[0_0_0_0_0_0_NEW]
不愧	不愧	bu4 kui4	bù kuì	be worthy of; deserve to be called; prove oneself to be		0	0		[0_0_0_0_0_0_NEW]
丰满	豐滿	feng1 man3	fēng mǎn	plentiful; rich; plump; well-rounded		0	0		[0_0_0_0_0_0_NEW]
笨拙	笨拙	ben4 zhuo1	bèn zhuō	clumsy; awkward; stupid		0	0		[0_0_0_0_0_0_NEW]
种植	種植	zhong4 zhi2	Zhòng zhí	To plant; to grow		0	0		[0_0_0_0_0_0_NEW]
股东	股東	gu3 dong1	gǔ dōng	shareholder; stockholder		0	0		[0_0_0_0_0_0_NEW]
欺骗	欺騙	qi1 pian4	qī piàn	to deceive; to cheat		0	0		[0_0_0_0_0_0_NEW]
理智	理智	li3 zhi4	lǐ zhì	reason; intellect; rationality		0	0		[0_0_0_0_0_0_NEW]
基因	基因	ji1 yin1	jī yīn	gene (loanword)		0	0		[0_0_0_0_0_0_NEW]
机构	機構	ji1 gou4	jī gòu	mechanism; structure; organization; agency; institution		0	0	CL:所[suo3]	[0_0_0_0_0_0_NEW]
标题	標題	biao1 ti2	biāo tí	title; heading; headline; caption; subject		0	0		[0_0_0_0_0_0_NEW]
当务之急	當務之急	dang1 wu4 zhi1 ji2	dāng wù zhī jí	top priority job; matter of vital importance		0	0		[0_0_0_0_0_0_NEW]
捍卫	捍衛	han4 wei4	hàn wèi	defend; uphold; safeguard		0	0		[0_0_0_0_0_0_NEW]
土壤	土壤	tu3 rang3	tǔ rǎng	soil		0	0		[0_0_0_0_0_0_NEW]
光芒	光芒	guang1 mang2	guāng máng	rays of light; brilliant rays; radiance		0	0		[0_0_0_0_0_0_NEW]
天才	天才	tian1 cai2	tiān cái	talent; gift; genius; talented; gifted		0	0		[0_0_0_0_0_0_NEW]
考古	考古	kao3 gu3	kǎo gǔ	archaeology		0	0		[0_0_0_0_0_0_NEW]
转达	轉達	zhuan3 da2	zhuǎn dá	to pass on; to convey; to communicate		0	0		[0_0_0_0_0_0_NEW]
撇	撇	pie1	piē	to cast away; to fling aside		0	0		[0_0_0_0_0_0_NEW]
淘汰	淘汰	tao2 tai4	táo tài	to wash out; elimination (by selection); natural selection; to knock out (in a competition); to die out; to phase out		0	0		[0_0_0_0_0_0_NEW]
技巧	技巧	ji4 qiao3	jì qiǎo	skill; technique		0	0		[0_0_0_0_0_0_NEW]
片刻	片刻	pian4 ke4	piàn kè	short period of time; a moment		0	0		[0_0_0_0_0_0_NEW]
正当	正當	zheng4 dang1	zhèng dāng	honest; reasonable; fair; sensible; timely; just (when needed)		0	0		[0_0_0_0_0_0_NEW]
