//StickyStudy Japanese Deck//	0	//	535-5-0-96-23	440058208_-1_-160_-1_0_-1_1-1-2-2-0-0-0-0-8-0-156-40-0-1-1-3-4-0-7-10-0-0-0-0-0-407-1
------------------------------------------------------------------
差す	[v5s,vi]	さす	(1) to raise (e.g. hands, umbrella), to stretch out, (2) to be tinged, (3) to wear at one's side (e.g. sword), to carry (e.g. a book), (4) to shine, (5) to provoke a feeling, (6) to pour (e.g. a drink), to water, to dye	[365324876_0_3_3_0_0_NEW]
脱ぐ	[v5g,vt]	ぬぐ	to take off (clothes, shoes, etc.), to undress	[408173740_0_9_5_0_0_NEW]
生まれる	[v1,vi]	うまれる	to be born	[365325456_0_6_4_0_0_NEW]
覚える	[v1,vt]	おぼえる	(1) to remember, to recollect, to memorize, to memorise, (2) to feel	[365325778_0_6_4_0_0_NEW]
練習	[n,vs]	れんしゅう	practice, practise	[365325055_0_7_4_0_0_NEW]
色	[n]	いろ	colour	[407996024_0_7_4_0_0_NEW]
忘れる	[v1,vt]	わすれる	to forget, to leave carelessly, to be forgetful of, to forget about, to forget (an article)	[407995228_0_7_4_0_0_NEW]
言う	[v5u]	いう, ゆう	(1) to say, (2) to call (i.e. to give a name)	[407996018_0_7_4_0_0_NEW]
住む	[v5m,vi]	すむ	to live (of humans), to reside, to inhabit, to dwell, to abide	[407995224_0_7_4_0_0_NEW]
出かける	[v1,vi]	でかける	to depart, to go out (e.g. on an excursion or outing), to set out, to start, to be going out	[407995625_0_7_4_0_0_NEW]
休む	[v5m,vi]	やすむ	(1) to be absent, to take a day off, (2) to rest, to have a break, (3) to go to bed, to (lie down to) sleep, to turn in, to retire, (4) to stop doing some ongoing activity for a time, to suspend business	[365325791_0_4_3_0_0_NEW]
厚い	[adj-i]	あつい	(1) thick, deep, heavy, (2) kind, cordial, hospitable, warm, faithful, (3) abundant	[407996031_0_8_4_0_0_NEW]
買う	[v5u,vt]	かう	(1) to buy, to purchase, (2) to value, to have a high opinion, (3) to stir, to provoke	[407995629_0_8_4_0_0_NEW]
お菓子	[n]	おかし	confections, sweets, candy	[407996033_0_8_4_0_0_NEW]
火曜日	[n-adv,n-t]	かようび	Tuesday	[407995635_0_2_2_0_0_NEW]
閉まる	[v5r,vi]	しまる	(1) to be shut, to close, to be closed, (2) to be locked, (3) to tighten, to be tightened, (4) to become sober, to become tense	[365324899_0_2_2_0_0_NEW]
弾く	[v5k]	ひく, はじく	to play (piano, guitar)	[407995640_0_2_2_0_0_NEW]
今月	[n-adv,n-t]	こんげつ	this month	[407995233_0_2_2_0_0_NEW]
牛肉	[n,adj-no]	ぎゅうにく	beef	[408173752_0_8_4_0_0_NEW]
売る	[v5r,vt]	うる	to sell	[365325132_0_5_3_0_0_NEW]
疲れる	[v1,vi]	つかれる	(1) to get tired, to tire, (2) to be worn out (e.g. of well used objects), (3) (arch) to starve	[365325797_0_5_3_0_0_NEW]
飛ぶ	[v5b,vi]	とぶ	(1) to jump, to leap, to spring, to bound, to hop, (2) to fly, to soar	[365325564_0_5_3_0_0_NEW]
体	[n,adj-no]	からだ	body	[365325086_0_5_3_1_0_NEW]
切る	[suf,v5r,vt]	きる	(1) to cut (usu. to cut through), (2) to sever (connections, ties), (3) to turn off (i.e. the light), (4) to terminate, to hang up, to disconnect, (5) to open (something sealed), (6) to start	[365325112_0_5_3_0_0_NEW]
